,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
13,7203,15282,17663,20033,4785,14845,13825,28652,12847,24981,20201,10900,0,30457,18758,20006,21576,13476,18224,10054,22532,38285,22549,180311,18794,8233,20900,24995,26638,22924,6113,17516,16321,4786,19923,20149,63139,16767,18390,31361,10584,4551,19987,17548,14742,17000,13398,6514,13447,13537,12334,13094,4557,18598,13447,17687,66076,178496,29141,19253,8847,9089,28692,25465,16743,59113
14,34364,15036,20745,8766,32408,20539,21558,54289,48012,12379,23283,21377,32777,0,15832,33287,25480,28558,17032,19279,15702,58239,16103,152621,15489,35206,17379,12393,3253,13697,30922,20598,18475,28427,8904,45785,88778,20632,12462,57001,29528,28808,15947,18069,15865,20082,28480,29891,15999,15684,27416,49968,35829,11745,15999,18208,86029,150806,58130,32535,27650,34729,54329,6557,20607,84752
15,28358,7876,14722,8746,15711,5359,15534,48283,38645,18189,17260,15354,26772,15490,0,27264,19457,5826,5046,15188,8027,47042,3974,157845,2864,29200,5250,18203,16207,11647,12873,14575,3231,22421,7896,39779,78772,6222,6050,50990,23522,22803,4819,4947,8791,14059,5904,13193,7596,8658,6831,38771,24631,6219,7596,5087,74832,156031,48772,26512,12599,28723,48323,18673,6198,78742
16,22739,20419,14681,27666,18980,27754,13620,42664,36388,26439,12049,18512,20253,31943,27350,0,11873,24650,24303,20273,21502,53571,24007,181797,33533,23582,22358,26453,28096,22449,22772,16241,31060,15902,30991,34160,77149,26374,23107,45372,12043,16283,25529,27154,19578,15725,24728,21265,20048,18880,27074,36636,27273,24221,20048,27294,75542,179983,43153,2477,24889,23104,42704,26923,26349,73123
17,23506,13085,7508,20332,17473,20631,10596,43430,37154,19104,3891,11388,21919,24609,20016,11858,0,20310,16969,13150,14168,55237,16673,174463,24410,24348,15024,19119,20762,15115,18293,6529,23752,17568,19162,34927,77920,19250,15772,46143,13516,17950,18195,18023,11472,6762,20389,16276,12924,11757,18695,37402,28939,16887,12924,18163,76313,172648,47272,9560,18901,23871,43470,19588,19226,73894
18,23601,8507,15352,9202,10796,1116,16165,43045,28614,18819,17890,13057,14158,19841,5892,24383,20087,0,4525,8439,10469,37011,5431,162196,7579,24443,5948,18833,20477,14829,9310,15205,5106,15510,9366,34254,68742,1206,7511,40650,13888,12216,6695,4142,6812,14689,78,8279,5517,6294,1346,28740,14601,7689,5517,4282,64802,160381,41125,23631,4251,23966,43085,19303,1181,67557
19,25944,5462,12308,8452,14144,3507,13120,45869,39593,15775,14846,12940,24358,17496,4847,24850,17043,3974,0,7872,7425,45818,2218,159851,7111,26786,2344,15789,17433,11785,9843,12161,4325,20007,8341,37365,80354,3096,5121,48576,21108,20389,4629,1660,6377,11645,4052,8699,4309,6244,5261,39840,23408,6236,4309,1799,73609,158036,46358,24098,7716,26309,45909,16259,3072,76328
20,16031,5979,7687,10731,4790,11638,2829,35956,29680,15004,10225,1835,9627,20509,15414,16813,12422,11318,11714,0,7749,46140,12573,166342,17159,16873,7314,15018,16662,11014,6828,7540,14759,6740,10620,27452,70441,10258,9088,38664,6318,6761,10685,11038,5440,7024,11396,7283,4144,4234,9703,29927,10654,9296,4144,11178,68834,164528,36445,16061,8094,16396,35996,15488,10233,66415
21,24766,3314,8673,4013,14744,9031,11942,44690,38414,6197,13667,7809,18830,12741,10238,23671,15865,9499,7190,9473,0,56498,5208,162594,11498,25608,5246,6190,8893,6274,14584,10983,10244,15943,3152,36187,79176,10709,2788,47398,19930,19210,4386,8245,4036,10466,9577,12566,6193,5205,12023,38662,30200,2997,6193,8384,77569,160780,45179,22919,15192,25130,44730,6695,10685,75150
22,39511,51929,52158,55847,42090,38885,48320,12271,22589,59475,54696,47419,40274,59164,43541,54500,56070,38240,48241,46572,57027,0,47336,201519,46732,39434,48612,59489,59881,57418,35708,52011,41789,41221,56709,28228,34057,39445,49416,11235,45079,39052,48600,47564,51261,51495,38162,39573,49965,50055,37098,22715,32451,49594,49965,47704,30117,199705,11710,53748,37332,39295,12258,60693,39421,36454
23,24459,3977,10823,5113,13370,5687,11635,44384,38107,14290,13361,11455,22873,16875,4226,23365,15558,6154,2386,8100,4712,46951,0,159230,8620,25301,1365,14304,15947,9045,10505,10676,6107,18522,5294,35880,78869,5208,2683,47091,19623,18904,3346,3349,4892,10159,6232,11193,4824,4499,8679,38355,24541,3801,4824,2746,77262,157415,44872,22612,9202,24824,44424,14774,5183,74843
24,182183,160297,168564,157426,174131,162261,169377,202108,191564,153193,171102,169196,180597,151152,157555,181106,173299,170280,158754,164540,157378,199961,157826,0,157211,183025,159102,154799,151868,158492,172645,168417,160198,176246,157754,193604,231692,162354,157723,204820,177347,176627,157669,159791,161126,167901,170202,171613,161260,160945,169138,191690,177551,157006,161260,159931,227752,2162,205950,180354,169373,182548,202148,152680,162330,232571
25,31265,10784,17629,8251,19171,6474,18442,51035,36605,21050,20167,18261,30414,19008,3338,36869,22364,7491,7816,23653,10935,45002,6882,161364,0,32108,8158,22655,19725,14818,17685,17482,3046,23885,9113,42244,76732,8318,9856,48640,26374,20591,8494,8966,11698,16966,7413,16654,11614,11566,6643,36731,22591,8752,11614,9105,72792,159549,49115,36117,14413,31630,51075,20537,8294,75547
26,449,21009,19711,27533,12843,24406,15873,21573,11177,27029,22249,15693,7782,32507,27940,22172,23626,23676,24893,14932,24583,39565,24597,182361,32334,0,22948,27043,28686,24974,16306,19564,30086,10626,25046,13069,56060,27357,23697,24282,12765,11007,26119,25948,21733,19048,23754,20291,18325,19866,26100,11424,22005,26492,18325,26087,54453,180546,22062,21420,23915,1884,21613,27513,27332,52034
27,23220,2739,9584,4890,12189,5841,10397,43145,36869,13052,12122,10216,21635,18556,5405,22126,14319,6268,2334,6919,4702,54952,1677,161683,9799,24062,0,13066,14709,9062,12029,9437,6659,17284,5071,34641,77630,5208,2512,45853,18385,17665,3345,3384,3653,8921,6346,10012,3582,3521,9452,37117,28655,3578,3582,2746,76023,159868,43634,21374,9202,23585,43185,13536,5184,73604
28,25681,10597,8622,6272,21961,13744,13925,45606,39330,2287,15651,13745,24095,10565,18270,25655,17848,14211,15223,14840,6105,57413,14927,160418,23287,26524,13278,0,6717,3141,25416,12966,14957,19744,5103,37102,80096,18097,8023,48318,20845,20125,8740,16277,11426,12449,14289,17933,14269,11245,16736,39578,31115,7306,14269,16417,78489,158604,49448,24902,20558,26046,45646,2786,18072,76070
29,28935,14210,15299,7845,25216,17357,16112,48860,42584,2975,17837,15931,27350,3869,15544,27841,20034,17824,16743,18453,9016,57950,15815,152332,15200,29777,15464,4580,0,10203,28671,15152,18187,22999,6675,40356,83345,20283,11637,51568,24100,23380,15658,18464,15040,14636,17902,21546,16455,14858,27127,42831,35540,10919,16455,18603,81738,150518,49349,27089,27362,29300,48900,2438,20259,79319
30,24532,9454,5648,7205,20812,12601,10713,44457,38181,4806,8260,10533,22946,12434,11535,20379,12910,13069,11809,13698,5938,56264,8985,159831,22700,25375,9864,3524,10002,0,24267,5874,13814,18595,5738,35953,78947,14934,6881,47169,19696,18976,7598,12863,7729,6987,13147,16791,10418,10103,15593,38429,29966,6163,10418,11048,77340,158017,48299,19627,19416,24897,44497,5304,14909,74921
31,16922,11367,15376,15116,3418,9221,10073,36846,26178,26141,17914,10783,6131,31179,13858,21974,17777,8576,11974,7157,13757,34575,12943,173534,13894,17764,9720,26155,27798,18570,0,15229,11421,7886,15005,28343,66305,10517,13472,39554,11480,4434,16448,11297,10223,14713,8498,2210,12151,9807,7434,26304,5693,13680,12151,11437,62365,171719,38688,21222,2712,17286,36886,26625,10492,67306
32,19321,7471,508,11941,14440,12876,6335,39246,32970,13985,3047,6317,17736,19490,13599,14306,6837,12556,10552,8871,7751,51053,10256,169343,17993,20163,8607,13999,15642,6121,14014,0,16610,13385,11830,30742,73641,11496,9236,41864,9675,13766,11778,11607,5675,1029,12634,11997,7979,7127,14416,33217,24756,10351,7979,8995,72034,167529,39735,13554,14622,19686,39286,14469,11471,69615
33,30139,11029,17875,10207,13223,4173,18687,46693,32263,20612,20413,18551,16584,18571,3384,30920,22610,5191,5711,15660,10494,40660,6437,160926,3046,30981,6440,22218,19287,14123,11736,17728,0,17936,10371,37902,72390,6018,8517,44298,20426,14643,7701,5612,11944,17212,5113,10705,8261,11811,4343,32389,18249,8695,8261,5752,68450,159112,44773,30168,10071,30503,46733,20099,5993,71205
34,9835,12116,12846,16868,3245,18150,9009,30873,16699,20164,15384,7735,4687,25640,21075,15192,16759,17830,18028,6888,17716,39799,17732,175494,20312,11790,16083,20178,21821,18107,5976,12699,21272,0,16757,22369,65358,16770,15224,33581,5771,1869,16821,19083,11576,12183,17908,8033,10281,10371,13852,16947,8600,15432,10281,19222,63751,173679,31362,14440,10365,11313,30913,20648,16746,61332
35,26348,5715,10270,1184,15229,8797,12370,46273,39997,4727,14096,11575,19315,10468,7730,26501,16293,9264,8791,9958,3215,50061,5180,156524,9324,27190,6847,5517,6621,5274,15069,11411,10010,16428,0,37769,80762,11194,3076,48985,16007,16449,3956,9846,6545,10894,9342,13051,6678,6364,11789,40244,20786,2359,6678,9985,79156,154710,50115,25749,15677,26713,46313,5225,11170,76737
36,11998,31688,30390,38212,23522,35781,26552,14344,3738,37707,32928,26371,25663,43186,38619,32851,34305,35136,35572,25611,35261,27419,35276,193040,43628,11921,33627,37721,39365,35653,26985,30243,38685,21304,35725,0,48830,38035,34375,17053,23444,21686,36797,36626,32412,29727,35058,30969,29004,30545,33994,3685,29347,37171,29004,36766,47223,191225,14833,32098,34229,11781,14384,38191,38011,44804
37,56834,76522,75142,83075,68356,71909,71386,38067,51820,82541,77680,71206,70498,88049,83453,77685,79168,71264,80406,70445,80124,36562,80110,234544,79756,56757,78461,82555,84199,80516,68732,74995,74813,66138,80588,50948,0,72470,79209,36186,68278,66520,83468,81460,77246,74479,71186,72597,73838,75379,70122,51767,65475,82034,73838,81600,5424,232729,37316,76932,70357,56617,38107,83025,72445,7130
38,27782,7301,14146,11549,11519,1700,14959,47707,38312,17614,16684,13668,14703,19961,7313,24994,18881,1380,3613,7233,9264,46709,4582,162316,9058,28624,4742,17628,19271,13624,8951,13999,6658,13702,11438,39203,78440,0,7303,50415,14500,14096,6787,2937,5606,13483,1458,8406,4311,5088,2725,38438,16798,8418,4311,3076,74499,160502,48196,24242,5496,28147,47747,18098,295,78166
39,23697,3183,9496,3026,12653,7062,10873,43622,37345,8830,12599,10693,22111,19033,5993,22603,14796,7529,4971,7382,2800,55429,3069,162146,10408,24539,2993,8824,15185,9989,12492,9914,8274,17760,3320,35118,78107,7300,0,46329,18861,18142,3103,7033,4130,9397,7607,10475,3521,3781,10054,37593,29131,1714,3521,4708,76500,160331,44110,21850,13100,24062,43662,9328,7276,74081
40,23472,43160,41780,49713,34994,46073,38024,3458,18458,49179,44318,37844,37136,54687,50091,44323,45806,45428,47044,37083,46762,16071,46748,204541,53920,23395,45099,49193,50837,47154,38457,41633,48977,32776,47226,17586,35468,49536,45847,0,34916,33158,50106,48098,43884,41117,45349,42441,40476,42017,44286,18405,39639,48672,40476,48238,33861,202726,2283,43570,44520,23255,3498,49663,49512,31442
41,12510,16727,9627,14811,6369,15309,2497,32435,26159,22746,12165,3977,10668,28223,23658,11711,12299,14578,20611,4830,20298,48715,20315,178076,23461,13353,18666,22761,24404,20690,12700,9481,20989,5505,14700,23931,66920,14805,19414,35143,0,6698,23642,21665,9519,8964,14656,11193,8224,8314,17002,26407,17688,13375,8224,21805,65313,176262,32924,10958,14817,12875,32475,23230,14780,62894
42,11765,14961,13663,16725,1423,12336,9825,31690,16625,20981,16201,7592,4570,26457,21892,16009,17576,11691,18845,6746,18532,39053,18549,176311,17008,12607,16900,20995,22638,18924,4462,13516,14536,1869,16614,23186,66175,16628,15082,34397,6588,0,16679,19900,11434,13000,11613,4729,10138,10229,10549,16872,7462,15290,10138,20039,66843,174496,32179,15257,7062,12130,31730,21465,16603,62149
43,28743,7412,14257,3072,18094,6222,15070,48668,39090,8829,16795,14889,27157,16915,5156,26799,18992,6690,4444,11447,4434,47486,2575,159270,8418,29585,3869,8993,9947,7669,16608,14110,7435,22806,3741,40164,83158,7086,3114,51380,23907,23187,0,5480,8326,13594,6768,15577,6409,8194,9214,39216,25076,2000,6409,4544,75277,157456,52510,26047,16898,29108,48708,9327,7061,79132
44,21973,4484,9573,7989,10175,4267,13669,41898,32334,16324,11490,7829,15569,18474,5825,22755,14338,3946,2239,6212,6915,40731,2425,160829,10219,22815,2802,16338,17981,10924,8183,9381,6119,12682,7878,33394,76383,2886,4752,44606,12260,12703,4630,0,3944,8415,4025,7039,2649,3426,5292,32460,18183,5867,2649,139,68521,159014,42387,22003,6881,22338,41938,16808,2862,72357
45,21705,1507,6276,7017,10388,7028,8882,41630,35354,11859,8193,4800,14474,17364,8794,20179,11041,6707,5747,5118,3632,44524,5451,162628,13187,22547,3802,11873,13516,7513,10066,6084,11805,11587,6906,33126,76115,5647,4550,44338,11166,11608,6972,6801,0,5118,6785,8048,1554,1035,10467,35601,15143,5665,1554,4074,74508,160813,42119,19427,10673,22070,41670,12343,5623,72089
46,18613,6649,805,11119,13732,15644,5627,38538,32262,13277,4171,5609,17028,18782,14188,13837,6368,15323,11141,8163,8340,50345,10845,168635,18582,19455,9196,13291,14934,6418,13306,658,18765,12677,11008,30034,72933,14263,9945,41155,8967,13058,12367,12196,4853,0,15401,11289,7157,6305,13708,32509,24048,11060,7157,8173,71326,166821,39027,13085,13914,18978,38578,13761,14239,68907
47,23523,8585,15430,9280,10718,1194,16243,42967,28536,18897,17968,12978,14080,19919,5970,24305,20165,78,4603,11089,10547,36933,5509,162274,7501,24365,6026,18912,20555,14908,9232,15283,5028,15432,9444,34175,68664,1284,7590,40572,13810,12138,6773,4221,6890,14767,0,8201,5595,6372,1267,28662,14523,7767,5595,4360,64723,160459,41047,23552,4173,23888,43007,19381,1259,67479
48,19678,10303,12686,14051,3748,8156,9504,44116,29685,18665,15224,10592,6368,30114,12793,21405,16712,7511,10909,6544,12692,38082,11878,172469,12829,20520,12038,18829,19783,17505,1507,12539,10356,8462,13940,35324,69812,9452,12407,41721,10910,5168,15384,10232,9158,12023,7433,0,7875,8742,6369,29811,6737,12616,7875,10372,65872,170654,42195,20653,2691,20042,44156,19163,9428,68628
49,19324,2222,7277,7891,8834,6223,6175,39249,32973,12505,10394,5180,12920,17470,8956,20106,11881,5903,4817,3564,4945,49434,5613,163502,13350,20167,3421,12669,13623,11345,8275,7709,14446,10033,7780,30746,73734,4843,6247,41957,9612,10054,7845,3827,1682,7192,5981,6970,0,1165,9389,33221,14391,6456,0,3806,72128,161688,39738,19354,7327,19689,39289,13003,4818,69709
50,20120,1703,6758,6727,9629,6332,5875,40045,33769,12368,8676,4813,13716,17873,8441,18801,11588,6011,5394,4359,4426,43802,5098,162338,12835,20962,3449,11505,14026,7996,9344,6567,8697,10829,6616,31541,75430,4951,4213,43653,10407,10849,6680,6449,1163,5600,6089,7327,858,0,9746,34016,14422,5291,858,3846,73823,160523,44783,18049,9952,20485,40085,12852,4927,71404
51,22969,11580,17017,10865,10766,2611,13748,42090,27659,21893,19555,12424,13459,28102,7318,23751,21752,1663,7892,10535,13543,36056,8862,170457,7353,23811,9022,21907,23550,17903,5992,16870,4880,13747,11029,33298,67787,2869,9175,39695,13256,12186,8358,7216,12495,16354,1585,8249,7180,8350,0,27785,13646,9352,7180,7356,63846,168643,40169,22998,3706,23334,42130,22377,2845,66602
52,12763,34687,33389,41211,17139,30306,29551,10322,248,40706,35927,29370,13442,46185,34962,35850,37304,29661,38571,28610,38260,21944,38275,192941,38153,11357,36626,40720,42364,38652,27129,33242,33210,24303,38724,3848,50035,30867,37374,18258,26443,24685,40021,39625,35411,32726,29583,30994,32003,33544,28519,0,15060,40170,32003,39765,49734,191126,10688,35097,28753,12719,10234,41190,30842,46009
53,11713,16568,24767,20316,7457,15995,20929,36967,14864,32084,27305,14535,4561,36275,20651,27109,28679,15350,20289,11248,29636,30933,24446,178630,23842,12743,28004,32098,33742,30027,6343,24620,18899,8785,20205,28175,62664,16556,18673,34572,17688,7474,25710,19613,15205,24104,15272,9103,13910,14005,14208,15112,0,18881,13910,19752,58723,176815,35047,26357,6591,23230,37007,32568,16531,61479
54,27796,5782,12119,1312,15295,8057,13513,47721,41445,7236,15239,11642,19382,9982,8840,26568,18050,8525,6074,10025,3614,55266,4441,158879,8497,28638,4576,7715,8869,6722,15135,12554,9270,16495,2224,39217,82210,8921,2148,50433,16073,16515,2448,7645,6611,12037,8603,13118,6745,6430,11049,41692,32856,0,6745,6410,83056,157065,51563,25815,15743,28161,47761,7734,8896,78185
55,19324,2222,7277,7891,8834,6223,6175,39249,32973,12505,10394,5180,12920,17470,8956,20106,11881,5903,4817,3564,4945,49434,5613,163502,13350,20167,3421,12669,13623,11345,8275,7709,14446,10033,7780,30746,73734,4843,6247,41957,9612,10054,7845,3827,1682,7192,5981,6970,0,1165,9389,33221,14391,6456,0,3806,72128,161688,39738,19354,7327,19689,39289,13003,4818,69709
56,21834,4344,9625,8987,11343,4499,8684,41759,35483,15362,11542,7689,15430,19000,6352,22615,14390,4178,2765,6073,6967,40963,2951,161355,9511,22676,2437,15377,17020,10976,8637,9433,6351,12542,8877,33255,76244,3118,4804,44466,12121,12563,5156,1476,3805,8467,4257,7493,2509,3286,5524,32692,18414,5919,2509,0,68753,159541,42247,21863,7113,22199,41799,15846,3094,72218
57,54485,74174,72794,80727,69079,65873,69038,35718,49578,80193,75332,68857,67262,86153,70529,75336,76819,65228,78057,68097,77776,30526,74325,228508,73720,54408,76113,80207,81850,78167,62696,72647,68777,63790,78240,48600,5324,66434,76861,33838,65930,64171,75588,74553,74897,72130,65150,66561,71490,73030,64086,49704,59439,79685,71490,74692,0,226693,34968,74584,64321,54269,35758,80677,66409,4813
58,180210,158324,166592,155454,172158,160288,167404,200135,189592,151220,169130,167224,178624,149179,155582,179134,171327,168308,156782,162568,155405,197989,155853,2231,155238,181053,157129,152826,149896,156519,170672,166445,158225,174273,155782,191631,229719,160382,155751,202847,175374,174654,155696,157819,159154,165928,168230,169641,159287,158973,167166,189718,175578,155033,159287,157958,225779,0,203977,178381,167400,180575,200175,150707,160357,230599
59,22174,44541,43161,51094,36375,43295,39405,1379,11203,50560,45699,39224,38517,56068,51472,45704,47187,42649,48425,38464,48143,11324,48129,205922,51142,22097,46480,50574,52218,48535,39838,43014,46199,34157,48607,16289,36849,50917,47228,2585,36297,34539,51487,49479,45265,42498,42571,43822,41857,43398,41507,11150,36861,50053,41857,49619,35242,204107,0,44951,41742,21958,1366,51044,50893,32823
60,20262,17942,12204,25189,16503,25277,11143,40187,33911,23962,9572,16034,17776,29466,24873,2415,9395,22173,21826,17796,19025,51094,21530,179320,31056,21105,19881,23976,25619,19972,20295,13764,28583,13425,28514,31683,74672,23897,20630,42895,9566,13806,23052,24677,17101,13248,22251,18788,17571,16403,24597,34159,24796,21744,17571,24817,73065,177506,40676,0,22412,20627,40227,24446,23872,70646
61,19901,12123,15882,15871,5657,5394,12613,42107,27677,20485,18420,11289,9919,28105,14117,24748,18532,4273,9088,11532,14738,36073,10057,170460,15673,20743,10217,20649,28822,19325,2687,15735,11680,10371,15760,33316,67804,4889,14228,39712,14253,8697,17541,8411,10978,15219,4195,3138,8625,8841,3952,27803,6569,14436,8625,8551,63864,168646,40187,23995,0,20266,42147,20983,4864,66619
62,1763,21473,20175,27997,13307,24870,16337,21691,15415,27492,22713,16157,9108,32971,28404,22636,24090,24139,25357,15396,25046,39683,25061,182825,32798,2195,23412,27507,29150,25438,16770,20028,30550,11089,25510,13187,56177,27820,24160,24400,13229,11471,26583,26411,22197,19512,24217,20754,18789,20330,26563,15662,22469,26956,18789,26551,54570,181010,22180,21883,24379,0,21731,27976,27796,52151
63,21201,40891,39593,47415,32725,43802,35755,61,10284,46910,42131,35574,34866,52389,47822,42054,43508,43157,44775,34814,44464,11575,44479,202242,51649,21124,42830,46924,48568,44856,36188,39446,46706,30507,44928,15315,36966,47238,43578,3236,32647,30889,46000,45829,41615,38930,43078,40172,38207,39748,42015,10231,37368,46374,38207,45969,35359,200428,1391,41301,42249,20984,0,47394,47214,32940
64,27095,11685,13459,6116,23376,13238,14271,47020,40744,1127,15997,14091,25509,6254,18616,26001,18194,19954,15569,15699,7148,58827,15273,153273,16141,27937,13624,2850,2059,6650,26830,13312,19127,21158,5115,38516,81505,18443,7518,49727,22259,21540,8235,16624,12420,12796,20032,20003,14615,10740,23406,40991,32529,6800,14615,16763,79898,151458,47508,25248,28302,27460,47060,0,18419,77479
65,27807,7325,14171,11573,11543,1724,14983,47732,38337,17638,16709,13693,14727,19986,7337,25019,18906,1404,3637,7257,9288,46734,4607,162341,9082,28649,4767,17652,19295,13648,8976,14024,6682,13727,11462,39228,78464,24,7327,50439,14524,14120,6811,2961,5631,13507,1482,8431,4336,5113,2750,38463,16823,8442,4336,3101,74524,160526,48220,24267,5521,28172,47772,18122,0,78191
66,51901,71589,70209,78142,63423,68739,66453,33134,46887,77608,72747,66273,65565,83116,78520,72752,74235,68094,75473,65512,75191,44112,75177,232970,76586,51824,73528,77623,79266,75583,66886,70062,71643,61205,75655,46015,5833,77965,74276,31253,63345,61587,78535,76527,72313,69546,68016,70870,68905,70446,66952,46834,62305,77101,68905,76667,4249,231155,32383,71999,67186,51685,33174,78092,77941,0
